user_id,signup_date,acquisition_channel,country,state_region,device_first_used,preferred_category,loyalty_member_flag,email_opt_in_flag,birth_year
1,2026-05-10,direct,Australia,VIC,tablet,personal_care,0,0,1983
2,2026-12-31,direct,New Zealand,NSW,desktop,skincare,0,1,1982
3,2026-11-10,direct,Australia,WA,mobile,personal_care,0,1,1998
4,2024-05-01,organic_search,Australia,SA,tablet,accessories,1,1,1974
5,2025-04-11,direct,Australia,QLD,tablet,accessories,1,1,1984
6,2024-11-26,organic_search,Australia,WA,tablet,accessories,0,1,2002
7,2024-03-28,referral,Australia,SA,tablet,skincare,0,1,1969
8,2026-05-21,email,Australia,WA,desktop,accessories,0,1,1969
9,2024-05-10,referral,Australia,NSW,tablet,makeup,0,0,1965
10,2026-02-08,organic_search,Australia,NZ-AUK,mobile,personal_care,1,1,1964
11,2024-12-09,organic_search,Australia,SA,desktop,skincare,0,0,1988
12,2026-03-16,email,New Zealand,WA,mobile,skincare,1,1,1979
13,2025-01-20,paid_social,Australia,QLD,desktop,skincare,0,1,1960
14,2026-08-13,paid_social,Australia,SA,desktop,accessories,1,1,1981
15,2024-10-03,paid_social,Australia,SA,desktop,makeup,1,1,1982
16,2025-04-04,direct,Australia,WA,mobile,skincare,0,1,1985
17,2024-01-22,paid_social,Australia,NZ-AUK,mobile,personal_care,1,1,1973
18,2024-09-09,direct,New Zealand,NZ-WGN,tablet,personal_care,0,1,1995
19,2026-01-17,direct,Australia,NZ-WGN,mobile,makeup,0,1,1971
20,2026-05-06,paid_social,Australia,NZ-WGN,tablet,personal_care,1,1,1974
21,2025-04-19,paid_social,Australia,NZ-WGN,desktop,makeup,1,1,1975
22,2026-12-18,email,Australia,VIC,tablet,personal_care,0,0,1974
23,2025-05-25,email,Australia,QLD,mobile,makeup,0,0,1967
24,2025-11-30,direct,Australia,QLD,desktop,accessories,0,1,2003
25,2026-09-02,email,New Zealand,NZ-WGN,desktop,personal_care,1,1,1973
26,2024-07-08,direct,Australia,WA,tablet,personal_care,1,0,1961
27,2026-08-15,organic_search,Australia,NZ-AUK,tablet,personal_care,0,1,1971
28,2025-11-17,direct,Australia,NSW,mobile,accessories,1,1,1983
29,2026-08-15,direct,Australia,NSW,desktop,accessories,0,1,1961
30,2025-07-16,email,New Zealand,NZ-WGN,tablet,skincare,0,1,1977
31,2026-04-11,organic_search,New Zealand,VIC,desktop,skincare,0,0,1963
32,2025-10-08,referral,Australia,VIC,mobile,makeup,0,0,1987
33,2024-01-21,referral,Australia,WA,desktop,skincare,0,0,1984
34,2026-04-20,referral,Australia,NZ-AUK,tablet,personal_care,0,1,2000
35,2024-06-15,organic_search,Australia,NSW,mobile,accessories,0,1,1999
36,2025-01-22,paid_social,Australia,QLD,mobile,accessories,0,0,1966
37,2025-08-23,organic_search,New Zealand,NZ-AUK,desktop,accessories,0,0,2004
38,2024-11-11,email,Australia,NSW,tablet,accessories,0,1,1971
39,2024-01-14,direct,Australia,NZ-AUK,desktop,makeup,0,1,2003
40,2024-08-29,direct,Australia,WA,desktop,skincare,0,1,2004
41,2026-02-15,email,Australia,NSW,desktop,accessories,0,0,1978
42,2025-07-18,email,Australia,SA,tablet,makeup,1,1,1963
43,2026-06-16,direct,Australia,NZ-WGN,desktop,personal_care,0,1,1961
44,2024-04-01,paid_social,Australia,WA,desktop,skincare,0,1,1983
45,2026-08-13,paid_social,Australia,SA,mobile,makeup,1,1,2004
46,2025-05-23,paid_social,Australia,NZ-AUK,mobile,accessories,0,0,1970
47,2026-02-14,email,Australia,WA,mobile,accessories,0,1,1983
48,2024-02-04,direct,New Zealand,QLD,tablet,accessories,0,1,1998
49,2024-07-24,direct,New Zealand,WA,desktop,personal_care,0,1,1968
50,2026-10-22,direct,New Zealand,WA,desktop,skincare,1,1,1966
51,2026-10-18,organic_search,Australia,NZ-WGN,mobile,accessories,0,1,1988
52,2025-07-19,organic_search,Australia,WA,desktop,skincare,0,1,1994
53,2025-12-03,referral,Australia,WA,tablet,personal_care,0,1,1983
54,2025-02-05,organic_search,New Zealand,VIC,desktop,makeup,0,0,1962
55,2025-12-30,paid_social,Australia,SA,mobile,skincare,0,0,1960
56,2024-06-10,paid_social,Australia,WA,tablet,makeup,0,1,1992
57,2024-07-20,paid_social,Australia,WA,desktop,skincare,1,1,1993
58,2026-09-22,paid_social,Australia,NZ-AUK,desktop,accessories,1,0,2002
59,2024-09-26,referral,Australia,VIC,desktop,accessories,0,1,1969
60,2026-03-26,paid_social,Australia,NSW,tablet,makeup,1,1,1974
61,2025-03-31,email,Australia,NZ-AUK,desktop,skincare,1,1,1970
62,2026-10-13,email,New Zealand,NZ-AUK,mobile,personal_care,1,1,1999
63,2024-10-22,email,Australia,NZ-WGN,mobile,skincare,0,0,1992
64,2025-12-20,organic_search,New Zealand,NZ-WGN,mobile,makeup,1,0,1991
65,2024-12-03,direct,Australia,VIC,mobile,skincare,0,1,1997
66,2026-05-28,referral,Australia,VIC,tablet,skincare,1,1,1979
67,2026-12-12,email,Australia,NZ-WGN,mobile,makeup,0,0,1991
68,2026-03-02,email,Australia,VIC,mobile,makeup,1,1,1967
69,2024-08-04,paid_social,Australia,NZ-AUK,mobile,makeup,0,1,1976
70,2026-02-02,email,Australia,NZ-AUK,tablet,skincare,1,1,1995
71,2024-07-06,paid_social,Australia,NZ-WGN,tablet,makeup,0,1,1961
72,2025-01-14,paid_social,Australia,WA,desktop,makeup,1,0,1993
73,2025-05-07,direct,Australia,VIC,mobile,personal_care,1,1,1970
74,2026-11-30,organic_search,Australia,VIC,desktop,personal_care,0,1,1973
75,2024-01-15,paid_social,Australia,NZ-WGN,tablet,personal_care,0,0,1977
76,2024-03-05,paid_social,Australia,NZ-AUK,desktop,makeup,0,1,1969
77,2025-06-04,direct,Australia,NZ-AUK,tablet,makeup,0,0,1982
78,2025-10-09,paid_social,Australia,VIC,desktop,personal_care,1,1,1983
79,2026-12-22,referral,Australia,WA,mobile,accessories,0,1,2003
80,2025-08-15,organic_search,Australia,QLD,tablet,accessories,0,1,1970
81,2025-01-26,referral,Australia,QLD,tablet,personal_care,1,1,2000
82,2025-02-22,email,Australia,NSW,tablet,personal_care,0,1,1987
83,2024-10-15,organic_search,Australia,WA,mobile,accessories,0,1,1986
84,2025-01-13,email,Australia,NZ-AUK,mobile,personal_care,0,1,1967
85,2024-08-18,paid_social,Australia,VIC,tablet,makeup,0,1,1996
86,2026-10-14,direct,New Zealand,NZ-WGN,tablet,personal_care,0,1,1961
87,2024-02-10,referral,Australia,VIC,mobile,skincare,0,1,2004
88,2026-11-17,email,Australia,VIC,mobile,accessories,0,1,2002
89,2024-05-14,paid_social,New Zealand,QLD,mobile,makeup,1,0,1960
90,2024-07-19,referral,Australia,NZ-WGN,mobile,accessories,0,0,2000
91,2026-02-18,referral,Australia,NZ-AUK,mobile,personal_care,1,0,1963
92,2026-07-18,email,New Zealand,NZ-WGN,mobile,accessories,1,1,1962
93,2026-11-22,paid_social,New Zealand,VIC,desktop,personal_care,0,1,1985
94,2026-12-07,direct,Australia,VIC,mobile,makeup,1,0,1966
95,2025-05-17,email,Australia,QLD,mobile,makeup,0,1,1981
96,2025-02-10,referral,Australia,VIC,tablet,accessories,1,1,1969
97,2026-03-15,referral,Australia,NZ-WGN,tablet,makeup,1,0,1969
98,2024-04-08,organic_search,Australia,NSW,desktop,accessories,0,0,1998
99,2025-11-14,paid_social,Australia,NZ-AUK,mobile,accessories,1,0,1960
100,2025-12-26,organic_search,New Zealand,NZ-WGN,tablet,accessories,0,0,1996
101,2026-08-18,direct,Australia,SA,tablet,accessories,0,1,1970
102,2025-09-04,email,Australia,NZ-WGN,desktop,skincare,0,1,1993
103,2025-10-04,referral,Australia,NZ-WGN,mobile,skincare,1,0,1969
104,2026-10-25,paid_social,Australia,NSW,tablet,personal_care,0,0,1973
105,2025-05-17,referral,Australia,WA,mobile,makeup,0,1,1997
106,2026-02-05,organic_search,Australia,NZ-WGN,desktop,skincare,1,1,1961
107,2025-02-01,organic_search,Australia,NSW,desktop,skincare,1,1,1998
108,2026-05-20,email,Australia,NSW,mobile,makeup,1,1,1969
109,2026-03-05,paid_social,Australia,NZ-WGN,desktop,accessories,0,1,1991
110,2025-01-27,paid_social,Australia,NZ-WGN,tablet,skincare,0,1,1988
111,2024-07-25,email,Australia,QLD,desktop,skincare,1,1,1960
112,2026-11-04,organic_search,Australia,WA,desktop,skincare,0,0,2003
113,2026-06-10,organic_search,Australia,NZ-WGN,mobile,skincare,1,1,1963
114,2026-05-13,organic_search,Australia,NZ-AUK,tablet,accessories,0,0,1992
115,2026-01-12,referral,Australia,NZ-WGN,mobile,makeup,1,1,1983
116,2025-07-17,direct,New Zealand,NZ-AUK,mobile,skincare,1,1,2000
117,2026-10-17,organic_search,Australia,NSW,mobile,skincare,1,1,1981
118,2024-04-05,direct,Australia,SA,desktop,skincare,0,0,1969
119,2025-04-29,direct,Australia,NSW,desktop,skincare,1,1,2003
120,2024-08-18,paid_social,Australia,VIC,mobile,makeup,0,1,1985
121,2026-01-18,email,Australia,QLD,desktop,accessories,0,1,1973
122,2025-06-24,referral,Australia,VIC,desktop,personal_care,0,1,1971
123,2026-11-25,direct,New Zealand,WA,mobile,makeup,0,1,1979
124,2025-06-08,referral,Australia,WA,tablet,skincare,0,1,1993
125,2025-07-31,paid_social,Australia,QLD,tablet,personal_care,1,0,1994
126,2025-11-12,organic_search,Australia,NSW,desktop,skincare,0,1,2004
127,2025-07-10,direct,Australia,WA,tablet,makeup,0,1,1981
128,2026-10-09,email,Australia,SA,tablet,accessories,1,1,1997
129,2025-10-07,paid_social,Australia,NZ-WGN,desktop,personal_care,0,1,1976
130,2026-03-06,referral,New Zealand,QLD,tablet,personal_care,0,1,1987
131,2026-11-17,organic_search,New Zealand,VIC,desktop,accessories,0,0,1982
132,2024-07-08,referral,Australia,SA,mobile,accessories,0,1,1975
133,2025-09-24,email,Australia,NZ-WGN,tablet,personal_care,0,0,1982
134,2025-09-19,direct,Australia,NZ-WGN,mobile,personal_care,0,1,1996
135,2026-08-30,email,Australia,NZ-AUK,mobile,personal_care,1,0,1995
136,2025-12-10,referral,New Zealand,QLD,desktop,personal_care,1,1,1982
137,2025-10-10,referral,Australia,SA,tablet,accessories,1,1,1990
138,2024-11-13,email,Australia,NZ-WGN,tablet,makeup,0,0,1974
139,2025-11-14,email,Australia,QLD,tablet,makeup,0,1,1972
