order_id,product_id,quantity,unit_price
4543,16,2,106.93
6273,54,1,44.91
1005,32,3,18.51
256,32,2,44.15
9237,49,1,96.9
9024,54,3,113.9
7369,18,2,35.05
7762,7,1,81.29
14647,51,2,87.02
11694,55,1,88.55
7726,1,3,64.32
12052,40,1,114.06
11180,12,1,25.92
639,7,2,113.54
8026,56,2,49.17
240,8,3,100.91
1151,31,3,103.47
1955,50,2,19.89
9921,49,3,82.18
14067,57,2,19.24
13066,15,3,115.13
1155,57,3,111.33
11208,33,1,27.29
4531,43,2,110.9
13183,30,1,36.51
5245,24,1,69.48
12010,37,3,31.78
11491,3,2,73.2
14537,28,1,10.46
8733,2,3,67.03
14729,17,3,50.4
6502,17,1,105.22
2851,57,2,53.31
3229,25,2,36.25
8280,25,1,89.4
7473,18,3,16.65
3289,43,1,34.19
5347,9,2,65.32
12718,19,1,18.56
2628,17,2,58.08
65,47,2,20.92
10515,56,3,56.04
3188,25,1,97.14
13436,12,2,19.66
9207,1,2,72.21
3963,19,3,99.29
994,2,2,10.0
11392,17,3,44.15
399,2,3,66.6
13912,15,3,78.02
2724,11,1,61.08
11008,56,2,116.53
7161,20,1,86.9
1212,53,2,106.59
13879,2,3,74.87
10514,19,3,85.73
436,50,1,54.09
5291,36,3,66.93
12726,60,3,79.69
11837,33,2,104.58
12672,7,3,115.3
3469,24,1,103.81
13561,57,2,71.69
8761,23,2,39.34
10100,30,1,32.92
10307,19,1,97.96
2818,10,1,15.13
13735,19,3,79.14
14673,13,2,115.75
12690,14,2,95.64
80,40,2,103.78
5109,6,2,73.43
9906,59,3,25.68
2506,25,2,55.07
6627,9,1,33.42
6899,45,1,18.52
2752,9,3,10.29
6837,20,1,81.67
11471,51,2,60.19
6192,32,1,53.44
12928,48,3,56.19
1512,6,1,33.45
10158,43,1,115.64
13966,47,2,30.64
8489,23,1,19.29
8437,37,2,88.72
5690,47,3,116.07
12651,35,1,38.8
9280,10,1,57.07
9860,60,1,118.08
4767,33,2,27.7
13894,3,3,93.58
1758,53,1,33.18
9168,12,2,105.04
11513,9,2,23.64
1778,53,2,25.74
12743,54,2,73.34
9837,49,3,42.35
3173,8,3,21.04
10078,50,3,79.76
112,4,3,62.37
5327,28,3,53.29
5021,54,1,71.94
8575,14,2,90.74
8586,43,1,49.78
1238,22,1,108.01
7754,27,2,16.89
2753,60,3,11.94
6034,21,2,34.01
11757,34,3,61.25
11195,3,3,34.18
5760,59,2,51.33
12844,48,2,70.47
7922,32,3,13.57
13,31,3,56.82
6117,45,3,60.97
6135,43,3,113.93
13907,54,3,39.83
4736,6,2,73.41
10483,11,2,84.01
6319,36,1,70.54
13249,9,1,97.99
10027,30,1,18.69
9790,18,1,61.86
10069,18,1,116.84
1050,4,1,112.29
12802,22,3,84.05
9080,4,3,118.54
560,2,2,99.44
7823,4,2,68.2
14117,34,2,60.09
8268,26,1,102.94
1573,11,3,66.09
7174,21,2,33.66
10425,2,3,100.88
14645,20,3,94.29
13512,23,3,45.02
10324,47,3,84.57
12004,35,1,100.55
14594,38,1,118.68
5079,4,2,68.81
3117,51,3,92.18
6080,18,3,39.53
11141,12,2,44.42
3468,13,2,111.93
13630,9,2,20.03
2009,53,3,100.11
5743,5,1,115.84
2728,60,3,109.84
11959,49,3,57.76
10398,18,3,37.84
5509,25,3,95.6
13054,28,3,90.74
11857,48,2,57.12
11310,26,1,66.88
3264,40,2,16.67
1479,55,3,30.96
126,41,2,70.84
9021,41,2,70.27
2581,26,1,100.71
6431,27,2,115.73
5276,48,1,83.79
11054,1,3,91.12
7268,55,3,8.76
773,8,2,85.46
14405,13,3,37.26
13677,35,1,79.92
6903,20,3,43.69
1784,21,2,109.75
2403,45,1,112.2
1035,24,2,53.07
1904,7,1,107.47
10347,53,2,15.47
10919,36,1,61.25
7999,2,2,113.79
4032,13,1,117.96
7507,9,1,118.26
5163,19,2,12.95
13176,29,3,73.68
1666,35,1,80.57
285,36,2,106.0
5457,56,3,91.39
12909,6,3,56.83
11762,17,2,101.47
10906,8,3,14.24
9024,14,2,38.95
2078,15,1,38.55
10833,26,1,98.71
12525,37,1,37.0
13669,59,2,35.83
8866,29,3,50.45
2294,22,1,38.76
173,24,1,92.31
5053,40,1,91.8
8896,57,2,49.83
5479,25,2,27.7
12439,39,1,83.83
10549,60,2,108.4
9702,2,3,94.05
46,5,3,97.51
12092,22,1,96.86
5424,44,2,85.72
13138,14,1,76.61
13530,55,2,14.25
8489,21,3,33.49
3727,22,1,115.29
10828,18,1,29.12
1563,15,1,43.27
2490,34,3,73.26
1723,37,2,64.71
10582,45,2,17.67
4409,2,1,96.24
13700,32,2,77.84
4770,51,1,51.84
9274,45,2,85.02
8390,46,3,106.72
7101,32,3,95.46
14037,57,1,18.76
4680,49,1,41.11
13310,50,1,17.63
5507,49,3,10.02
13285,53,3,10.74
5634,27,2,25.89
4504,21,2,31.69
2277,9,1,74.77
12812,21,1,100.88
12380,31,3,116.92
3464,23,1,111.87
7427,26,1,97.27
10470,60,2,103.72
194,42,3,85.09
2257,43,2,92.71
10494,11,1,104.43
10293,10,3,48.32
14320,41,3,100.15
9096,14,2,17.09
2095,7,2,62.69
9814,50,1,77.21
1405,40,2,96.33
6318,10,1,28.69
7049,29,2,86.38
11074,20,3,65.63
2095,9,2,50.29
9954,42,3,109.39
7050,35,3,66.34
8126,14,2,41.07
9960,31,2,19.69
9700,27,3,89.77
2572,40,3,18.97
8143,36,3,105.03
2194,48,1,81.84
3320,35,2,114.06
2367,31,2,56.82
14032,9,3,44.35
100,13,3,98.21
13478,1,2,19.78
10761,11,3,23.51
3491,18,2,100.66
3927,11,3,100.19
2275,20,1,54.8
6456,41,1,95.19
406,51,3,9.75
14525,29,1,77.72
4670,2,3,104.02
2092,48,3,56.87
10961,1,3,29.28
8903,48,1,40.93
226,49,2,101.57
14151,60,1,8.7
7116,31,2,33.07
4706,10,2,108.3
13158,43,3,69.28
10383,60,3,44.25
2960,51,1,111.59
566,60,2,94.14
