order_id,user_id,order_timestamp,order_value,discount_amount,shipping_cost,payment_method,delivery_type,is_first_order
1,8509,2025-03-23,98.67,19.2,6.13,credit_card,express_shipping,0
2,8900,2026-03-04,139.72,17.69,3.97,credit_card,express_shipping,1
3,2176,2025-11-13,116.96,6.14,9.09,credit_card,standard_shipping,0
4,7437,2024-01-28,171.82,30.54,12.18,credit_card,standard_shipping,1
5,3090,2024-04-07,230.79,6.62,13.36,paypal,express_shipping,0
6,5444,2025-05-30,132.84,22.35,13.58,paypal,express_shipping,1
7,1399,2025-01-31,230.74,17.21,1.26,credit_card,standard_shipping,1
8,7078,2024-03-24,139.94,6.75,3.54,apple_pay,standard_shipping,1
9,10069,2026-05-19,35.7,12.94,0.43,credit_card,express_shipping,1
10,431,2024-12-01,129.47,15.65,9.97,credit_card,standard_shipping,0
11,8130,2026-02-11,100.12,14.73,1.66,credit_card,express_shipping,0
12,1745,2026-12-29,227.77,2.79,7.29,credit_card,express_shipping,1
13,66,2024-11-02,216.03,8.24,3.45,paypal,express_shipping,1
14,3386,2024-09-18,88.16,11.93,2.59,credit_card,express_shipping,0
15,7400,2026-11-20,167.71,21.95,7.02,paypal,express_shipping,1
16,10463,2024-08-10,219.2,23.35,7.16,credit_card,standard_shipping,1
17,8661,2024-04-04,63.5,38.63,4.28,paypal,standard_shipping,1
18,7153,2025-04-06,153.0,7.11,13.85,apple_pay,standard_shipping,0
19,6364,2025-05-09,159.72,24.52,4.09,apple_pay,standard_shipping,1
20,8106,2025-07-26,165.22,2.47,2.72,credit_card,standard_shipping,0
21,1207,2025-03-20,151.96,9.52,1.49,apple_pay,express_shipping,1
22,1092,2026-11-30,127.4,15.45,12.16,paypal,express_shipping,0
23,2132,2025-08-01,186.77,28.88,9.15,apple_pay,express_shipping,0
24,5860,2025-02-08,16.23,4.44,1.73,paypal,standard_shipping,0
25,2955,2024-10-17,124.28,4.43,12.17,paypal,standard_shipping,0
26,3417,2024-01-19,72.04,14.92,0.78,apple_pay,standard_shipping,1
27,8318,2024-12-13,90.13,16.52,1.53,paypal,standard_shipping,0
28,7580,2026-10-09,18.86,21.88,4.43,apple_pay,express_shipping,1
29,10556,2026-08-12,63.81,16.63,12.6,credit_card,standard_shipping,0
30,10704,2026-10-18,234.04,34.44,9.49,paypal,express_shipping,1
31,11883,2026-03-23,99.97,4.83,13.71,paypal,standard_shipping,0
32,1578,2025-05-01,229.31,11.05,0.55,apple_pay,standard_shipping,0
33,9660,2025-02-15,49.7,33.86,4.94,credit_card,express_shipping,1
34,693,2024-06-20,240.62,2.34,5.69,paypal,standard_shipping,1
35,1896,2025-06-24,212.31,25.6,0.88,paypal,express_shipping,0
36,3812,2025-03-09,119.62,24.65,1.75,apple_pay,express_shipping,1
37,3316,2024-09-03,132.64,39.52,8.88,paypal,standard_shipping,0
38,2599,2026-01-11,47.41,1.19,8.49,paypal,express_shipping,1
39,6724,2025-04-11,138.95,8.97,4.16,paypal,standard_shipping,1
40,22,2025-10-14,205.08,10.9,10.08,paypal,standard_shipping,1
41,5466,2025-01-01,31.02,30.23,6.63,credit_card,express_shipping,1
42,5,2025-06-20,31.56,7.5,1.77,apple_pay,standard_shipping,0
43,7467,2026-01-06,76.74,39.01,4.05,paypal,standard_shipping,0
44,2041,2025-07-17,191.4,22.3,10.96,paypal,standard_shipping,1
45,2782,2024-07-27,25.42,39.22,2.11,apple_pay,standard_shipping,1
46,8636,2026-12-09,110.88,25.22,8.28,apple_pay,standard_shipping,1
47,10479,2026-10-31,131.16,6.07,6.23,apple_pay,standard_shipping,1
48,9428,2024-12-08,111.09,23.02,2.65,credit_card,standard_shipping,1
49,7932,2026-10-17,66.86,21.92,5.99,apple_pay,express_shipping,0
50,9366,2024-05-02,66.48,34.43,5.3,apple_pay,express_shipping,0
51,2161,2026-11-09,47.59,33.36,12.06,credit_card,standard_shipping,1
52,8045,2026-01-03,104.13,26.3,11.18,apple_pay,standard_shipping,0
53,2390,2026-03-21,171.81,4.97,6.46,apple_pay,express_shipping,0
54,11420,2024-04-09,159.96,30.89,2.8,credit_card,express_shipping,0
55,3181,2024-05-19,179.75,25.18,14.48,apple_pay,express_shipping,1
56,3448,2024-10-12,43.47,18.43,9.55,apple_pay,express_shipping,0
57,5278,2026-05-11,221.07,31.42,1.6,paypal,standard_shipping,1
58,11728,2024-01-21,51.51,33.83,0.51,apple_pay,standard_shipping,0
59,1170,2026-10-25,167.29,33.53,14.32,credit_card,express_shipping,0
60,4468,2026-10-16,181.49,34.29,0.17,paypal,express_shipping,0
61,9345,2024-12-12,55.81,0.86,1.0,credit_card,express_shipping,0
62,1514,2024-03-22,113.67,24.32,1.56,paypal,express_shipping,1
63,6906,2025-11-20,219.0,23.9,7.41,apple_pay,standard_shipping,1
64,2890,2025-02-13,46.18,36.65,11.42,credit_card,standard_shipping,1
65,6564,2025-08-21,54.73,0.98,11.03,paypal,express_shipping,0
66,2806,2024-05-07,84.54,7.39,14.12,paypal,express_shipping,1
67,5075,2024-02-14,165.77,12.39,13.7,apple_pay,standard_shipping,1
68,9902,2024-07-23,150.5,37.19,5.99,paypal,standard_shipping,1
69,855,2025-02-11,212.72,27.48,3.2,credit_card,standard_shipping,1
70,5055,2026-05-02,65.05,4.05,11.78,apple_pay,standard_shipping,1
71,766,2026-04-14,182.99,29.9,8.37,credit_card,express_shipping,0
72,5785,2026-01-15,123.74,31.03,9.31,credit_card,express_shipping,0
73,964,2026-03-30,241.28,3.42,9.51,apple_pay,express_shipping,1
74,944,2025-07-04,89.53,22.22,2.28,apple_pay,express_shipping,0
75,9150,2025-11-22,86.89,6.9,9.92,paypal,standard_shipping,0
76,7445,2026-12-12,148.87,9.21,14.3,paypal,express_shipping,1
77,7695,2024-02-19,56.2,24.54,14.8,credit_card,standard_shipping,1
78,7465,2026-03-31,211.97,26.56,8.05,credit_card,express_shipping,1
79,7009,2026-01-05,127.63,7.33,3.43,credit_card,express_shipping,1
80,1005,2024-04-14,177.2,12.96,7.91,paypal,express_shipping,0
81,32,2025-09-11,92.31,33.89,10.74,apple_pay,standard_shipping,0
82,1564,2026-08-20,107.67,17.43,8.98,paypal,express_shipping,1
83,5330,2024-02-18,70.61,31.35,2.17,credit_card,express_shipping,1
84,8611,2025-11-24,205.68,3.99,8.71,apple_pay,express_shipping,1
85,5667,2024-09-18,157.45,37.27,2.05,apple_pay,express_shipping,0
86,5539,2025-03-16,79.28,5.75,6.94,paypal,express_shipping,1
87,1059,2026-05-17,91.42,37.05,4.66,credit_card,standard_shipping,0
88,8611,2024-06-18,125.01,32.33,3.27,apple_pay,standard_shipping,1
89,11683,2025-08-17,223.41,6.61,2.15,credit_card,standard_shipping,0
90,10364,2024-04-25,191.87,35.12,5.15,paypal,standard_shipping,0
91,9023,2026-01-31,27.54,0.86,0.95,paypal,standard_shipping,0
92,5625,2024-04-03,147.76,39.96,13.49,apple_pay,express_shipping,1
93,9912,2026-09-25,202.53,31.32,9.04,paypal,express_shipping,0
94,11709,2025-11-19,36.58,15.08,9.63,paypal,standard_shipping,1
95,8433,2026-09-27,120.9,4.63,2.94,credit_card,express_shipping,1
96,6911,2026-03-10,219.38,39.41,6.95,apple_pay,express_shipping,0
97,2139,2025-02-07,83.94,38.3,10.65,apple_pay,standard_shipping,0
98,9072,2026-04-27,16.37,17.33,5.64,credit_card,express_shipping,0
99,1188,2024-11-17,67.78,35.99,5.9,credit_card,express_shipping,1
100,4590,2026-04-23,120.57,0.3,11.24,apple_pay,standard_shipping,1
101,1236,2025-04-08,126.77,20.27,14.02,apple_pay,express_shipping,0
102,6215,2024-09-15,98.61,16.37,2.46,credit_card,express_shipping,1
103,6881,2026-06-08,45.64,0.75,6.77,credit_card,express_shipping,1
104,1214,2025-10-17,63.18,35.18,9.38,credit_card,standard_shipping,0
105,6588,2025-05-11,54.56,39.3,8.52,credit_card,standard_shipping,1
106,7550,2026-12-05,119.12,35.86,10.38,paypal,express_shipping,0
107,4830,2026-03-09,61.37,35.27,0.78,credit_card,standard_shipping,0
108,11845,2025-02-27,245.54,38.87,7.31,apple_pay,express_shipping,0
109,3688,2025-02-13,146.04,12.45,14.12,apple_pay,express_shipping,0
110,6417,2024-09-17,52.02,20.3,13.6,credit_card,express_shipping,1
111,7735,2026-03-28,114.16,21.2,14.85,paypal,standard_shipping,1
112,3233,2026-11-08,210.36,19.6,14.16,paypal,standard_shipping,1
113,6500,2025-08-22,243.34,38.66,5.74,apple_pay,express_shipping,0
114,5112,2026-03-12,149.5,18.08,12.06,credit_card,express_shipping,0
115,11410,2025-08-26,160.73,13.44,1.89,credit_card,express_shipping,1
116,10256,2026-11-12,92.72,28.09,2.55,paypal,express_shipping,1
117,8643,2024-05-31,123.37,20.21,7.01,credit_card,standard_shipping,0
118,8307,2026-02-19,48.09,32.65,7.49,paypal,standard_shipping,0
119,11652,2024-12-08,187.85,30.96,4.49,credit_card,standard_shipping,0
120,10725,2025-04-13,119.93,18.87,8.71,credit_card,express_shipping,0
121,6108,2024-12-13,43.13,3.89,5.09,paypal,express_shipping,1
122,11,2024-01-14,107.53,22.15,6.29,paypal,express_shipping,1
123,8275,2024-11-25,122.08,13.23,13.58,credit_card,standard_shipping,1
124,7394,2025-02-09,61.87,29.14,6.16,credit_card,express_shipping,1
125,10482,2026-03-31,103.04,38.6,2.17,credit_card,express_shipping,1
126,3190,2025-05-26,67.9,16.72,10.8,credit_card,express_shipping,1
127,11498,2026-03-19,226.65,23.16,10.81,credit_card,standard_shipping,0
128,9701,2025-02-28,41.81,9.91,2.79,apple_pay,express_shipping,1
129,1003,2026-10-03,160.46,10.12,3.71,paypal,express_shipping,1
130,10713,2026-12-09,190.32,23.99,14.72,apple_pay,express_shipping,0
131,2030,2026-01-20,132.2,3.81,10.22,credit_card,express_shipping,0
132,6949,2026-08-15,62.31,3.7,11.22,paypal,standard_shipping,1
133,6564,2026-03-30,116.82,25.65,4.44,credit_card,express_shipping,0
134,9887,2024-03-29,72.54,6.26,3.02,credit_card,express_shipping,1
135,1278,2024-01-22,77.53,35.4,7.83,apple_pay,standard_shipping,0
136,10066,2024-10-08,78.77,25.67,7.76,apple_pay,express_shipping,0
137,10941,2025-11-06,27.93,11.68,1.05,paypal,standard_shipping,0
138,4230,2025-01-23,187.49,37.36,14.92,apple_pay,standard_shipping,0
139,5328,2024-08-29,24.54,4.36,2.06,paypal,express_shipping,0
140,9147,2024-07-07,148.61,33.94,2.9,paypal,express_shipping,0
141,7086,2024-11-16,157.63,37.67,14.0,paypal,standard_shipping,0
142,4679,2026-07-13,112.72,4.54,6.66,paypal,express_shipping,0
143,4718,2026-06-15,202.97,5.5,11.67,apple_pay,express_shipping,1
144,4617,2024-04-23,113.35,35.64,1.05,credit_card,express_shipping,1
145,4217,2026-10-08,89.17,10.9,13.91,paypal,standard_shipping,1
146,3073,2026-10-02,246.23,19.43,0.02,apple_pay,express_shipping,1
147,4288,2026-08-15,196.64,32.9,5.6,apple_pay,express_shipping,1
148,8416,2025-12-28,25.97,32.88,0.85,credit_card,standard_shipping,1
149,9511,2026-05-06,144.32,14.99,5.51,apple_pay,standard_shipping,1
150,2979,2026-10-17,165.73,23.12,3.77,paypal,standard_shipping,1
151,2015,2025-11-22,54.85,19.24,5.76,apple_pay,standard_shipping,1
152,8299,2026-10-15,27.42,4.38,6.49,credit_card,express_shipping,1
153,5702,2024-02-13,113.5,13.25,12.97,apple_pay,express_shipping,0
154,11127,2025-03-19,186.82,22.4,2.64,apple_pay,standard_shipping,0
155,5190,2025-06-03,49.51,34.73,9.34,paypal,standard_shipping,1
156,5389,2024-04-29,200.25,29.43,12.36,apple_pay,standard_shipping,1
157,2025,2025-09-08,26.66,8.51,7.77,credit_card,express_shipping,0
158,8267,2025-07-29,167.92,12.95,5.49,paypal,express_shipping,0
159,10615,2024-01-04,158.54,29.29,4.44,apple_pay,standard_shipping,1
160,6175,2025-06-02,83.33,5.38,9.0,credit_card,express_shipping,1
161,5663,2024-02-07,178.98,4.82,9.62,paypal,standard_shipping,0
162,1775,2026-10-03,23.91,36.76,7.48,apple_pay,standard_shipping,0
163,9354,2024-09-22,188.35,8.71,5.92,paypal,standard_shipping,0
164,1310,2026-03-04,152.52,18.8,11.17,credit_card,standard_shipping,0
165,3265,2025-08-08,145.44,8.29,12.3,paypal,standard_shipping,1
166,9163,2026-12-30,63.62,18.29,11.39,apple_pay,standard_shipping,1
167,4539,2024-06-11,224.19,5.34,4.6,paypal,standard_shipping,1
168,263,2024-04-13,57.01,1.5,10.12,paypal,express_shipping,0
169,6712,2026-10-19,88.82,0.21,4.06,apple_pay,express_shipping,0
170,7112,2024-08-13,60.29,26.86,6.81,paypal,standard_shipping,0
171,5231,2026-02-01,232.52,15.74,7.81,credit_card,standard_shipping,0
172,96,2024-09-26,104.51,24.8,10.24,credit_card,standard_shipping,0
173,8525,2026-05-20,229.73,28.87,7.94,credit_card,standard_shipping,0
174,11884,2024-03-03,23.78,20.11,7.33,paypal,standard_shipping,0
175,2016,2025-12-16,146.1,13.96,9.99,apple_pay,express_shipping,0
176,10934,2026-12-31,186.42,14.01,13.78,credit_card,express_shipping,1
177,8938,2024-04-25,221.51,27.91,13.31,apple_pay,standard_shipping,0
178,10162,2026-09-21,23.55,24.44,4.09,credit_card,express_shipping,0
179,2433,2026-06-05,173.91,18.42,14.84,credit_card,standard_shipping,1
180,5540,2026-10-05,22.53,33.15,4.08,paypal,standard_shipping,1
181,6934,2024-02-02,159.0,12.8,9.86,apple_pay,express_shipping,0
182,800,2024-02-10,238.9,10.81,3.27,apple_pay,standard_shipping,0
183,2530,2025-09-13,167.76,18.88,0.12,apple_pay,express_shipping,0
184,10092,2026-03-11,73.12,2.15,11.37,apple_pay,standard_shipping,0
185,941,2026-10-31,175.02,37.32,2.44,paypal,standard_shipping,1
186,6168,2024-06-05,194.89,36.36,4.21,credit_card,standard_shipping,0
187,6359,2025-07-13,233.61,33.96,1.88,credit_card,standard_shipping,1
188,8447,2024-10-04,148.63,6.07,13.49,apple_pay,standard_shipping,1
189,9989,2025-08-13,67.36,5.54,13.78,apple_pay,express_shipping,1
190,7924,2025-04-04,84.46,1.28,8.63,apple_pay,express_shipping,1
191,370,2025-08-26,91.16,18.68,12.19,apple_pay,standard_shipping,0
192,10887,2025-06-03,244.97,4.71,13.02,credit_card,standard_shipping,0
193,6155,2024-12-28,23.59,19.54,7.44,paypal,express_shipping,0
194,1112,2026-05-12,168.96,29.5,9.67,paypal,express_shipping,1
195,11497,2026-06-06,193.2,38.29,10.97,paypal,standard_shipping,0
196,8376,2026-05-01,228.3,10.58,12.64,paypal,express_shipping,1
197,5083,2024-02-03,124.81,14.8,11.89,credit_card,standard_shipping,1
198,10147,2024-04-08,85.91,31.14,6.43,apple_pay,express_shipping,1
199,6762,2026-07-19,191.5,39.27,2.15,paypal,standard_shipping,1
200,9998,2024-01-12,114.01,12.31,12.0,credit_card,standard_shipping,1
201,8041,2026-06-12,222.88,19.98,13.87,apple_pay,express_shipping,0
202,5595,2026-09-26,197.44,3.47,14.04,paypal,express_shipping,1
203,7390,2026-08-16,187.58,20.39,1.18,credit_card,standard_shipping,0
204,8398,2026-11-19,228.18,34.66,11.54,credit_card,standard_shipping,1
205,5704,2026-07-16,221.68,37.49,13.65,credit_card,standard_shipping,1
206,5789,2025-07-17,89.83,29.26,4.86,apple_pay,standard_shipping,1
207,9524,2025-12-25,197.23,17.36,13.22,paypal,express_shipping,1
208,8516,2024-09-14,228.98,13.56,13.04,apple_pay,express_shipping,0
209,1638,2024-08-03,197.49,28.19,11.62,apple_pay,express_shipping,1
